text,label
tuh saya pernah ke tipu dari akun shope trnyata dana di bobol,0.0
nama penipu yang nyuruh saya isi token listrik sampai rb itu yanuar sma penipu satu lagi samin siapa gtu lupa saya,0.0
kayak di hipnotis rasanya mana pakai logo shopee pulak ya allah apes banget hbs bangun tidur itu saya suruh kirim video yang tidak senonoh pulak bangsattttttt itu penipu mengatasnamakan logo shopeee,0.0
baru aja ditelpon sama penipu kata katanya sama persis lagi tapi untungnya hp saya ngeleg ngeleg jadi saya minta nanti dulu pas saya curhat ke kakak saya ternyata kakak saya punya temen adiknya teman kaka saya ternyata korban s pinjam di teror habis habisan karena tagihan sampai hp nya dihack,0.0
tidak ridho tidak ikhlas yaallah saya kerja buat nyekolahin adikk,0.0
sama persis sama yang tadi yaallah saya ketipuuu,0.0
minggu kalau suami saya kena tipu percis omngan ya kya gini kena jt,0.0
buron koruptor itu,0.0
astagfirullah aladzim tadi sore saya kejadian hal sama seperti ini di akun shoopi suruh gabung kan ke google play tiba tiba saya punya hutang ke spaylater dengan alasan itu karena di retase dari perangkat lain terus saya di suruh mengosongkan limit si pinjam sementara ke rekening saya jika sudah masuk harus di kembalikan saya ikuti mengosongkan limit si pinjam dengan awal rp tapi belum masuk ke rekening peribadi saya masih dalam proses hari kerja apa yang harus saya lakukan pak,0.0
musnahkan saja pk,0.0
percayalah yang beginian ini adalah orang dalamz kalau dia bukan orang sopi dia tidak mungkin paham celah dan sistem sopi,0.0
barusan jir di telpon sama pulak suaranya,0.0
padahal dia punya keterampilan yang tidak banyak orang punya ya sayangnya salah jalan pak pak,0.0
hahhaha baru terjadi dri squrty shope pdahal akun aman aja setelah sempat tidak bisa belanja auto hapus dan download ulang allhamdulillah bisa tidak jadi ketipu kasihan deh orang nya auto kesell mau nipu gwe tipu balik inget gaess semua apk yang sudah terdaftar pasti udh centang biru,0.0
saya lebih suka mungkung daripada tetew,1.0
kemaren saya hampir saja kena tapi aplikasi cortex,0.0
mirip seperti ini hampir kemarin gua kena tipu begini,0.0
sampai skrng masih ada lho mudus seperti ini hati,0.0
naudzubillah,0.0
saya juga pernah di tlfn persis seperti ini lagsung saya blokir slsai,0.0
baru saja tdi dtelpon kya gini,0.0
ini yang saya alami kemarin pak dan akhirnya saya tertipu,0.0
harus hukum mati merugikan orang lain,0.0
masih hangat tdi sore jam tanggal desember saya kena tipu min sama yang mengatas namakan shopee indonesia untuk membantu peripikasi akun tahu nya saya kena tipu,0.0
mampuss luh baru juga hari kemarin gua kena tipu sampai jantung gua mau copot di kira beneran pihak shope sampai akun shope gua di batasi dulu skarang ini mangka nya cari duit itu yang hallah janga menipu orang awam,0.0
saya hari ini baru ditipu sama yang ngaku admin shopee saya disuruh mengaktifkan spinjam terus mengirim ke seabank saya sendiri terus disuruh lagi kembalikan kirim ke nomor virtual namanya shopee indonesia mana sadar saya kalau dia sepintar itu,0.0
ya alloh saya baru kena tdi siang dengan nominal yang tidak sedikit modus begini,0.0
